"","state","staff_allprivate","staff_4yr_nonprofit","staff_2yr_nonprofit","staff_forprofit","faculty_allprivate","faculty_4yr_nonprofit","faculty_2yr_nonprfit","facutly_forprofit","faculty_percent_4yr_nonprofit","faculty_percent_forprofit","student_staff_4yr_nonprofit","student_staff_forprofit","student_faculty_4yr_nonprofit","student_faculty_forprofit"
"37","Oklahoma","4,851","4,341","69","441","1,804","1,542","36","225","35.5","51.1","4.4","5.5","12.4","10.7"
"38","Oregon","6,822","6,573","8","241","2,668","2,557","5","106","38.9","43.9","4.6","6.8","11.8","15.4"
"39","Pennsylvania","79,596","77,112","938","1,546","28,329","27,164","409","757","35.2","49.0","3.2","6.8","9.2","13.8"
"40","Rhode Island","10,614","10,614","0","0","3,395","3,395","0","0","32.0","†","3.5","†","11.0","†"
"41","South Carolina","7,533","7,051","0","481","2,752","2,542","0","210","36.0","43.6","4.8","9.0","13.3","20.8"
"42","South Dakota","1,360","1,116","0","244","568","470","0","97","42.2","39.9","5.0","3.6","11.8","9.0"
"43","Tennessee","20,344","18,935","96","1,312","7,198","6,492","44","662","34.3","50.4","3.9","8.8","11.3","17.4"
"44","Texas","38,682","34,612","170","3,901","16,038","14,221","78","1,740","41.1","44.6","3.5","8.2","8.6","18.4"
"45","Utah","12,821","11,938","167","716","5,772","5,337","95","340","44.7","47.4","15.2","6.4","34.1","13.6"
"46","Vermont","3,751","3,739","0","13","1,276","1,271","0","4","34.0","34.2","3.7","4.4","11.0","12.9"
"47","Virginia","21,483","18,536","67","2,880","8,281","6,866","36","1,379","37.0","47.9","5.9","8.8","16.0","18.4"
"48","Washington","9,182","8,345","128","709","3,782","3,382","56","344","40.5","48.4","4.3","7.8","10.6","16.1"
"49","West Virginia","3,368","1,572","0","1,796","1,492","549","0","943","34.9","52.5","4.4","12.8","12.5","24.3"
"50","Wisconsin","16,010","15,720","0","290","6,007","5,871","0","136","37.3","47.1","3.1","6.3","8.2","13.4"
"51","Wyoming","71","0","0","71","18","0","0","18","†","25.2","†","3.5","†","14.1"
