"","state","public_doctor_prof","public_doctor_assoc","public_doctor_assist","public_doctor_all","public_masters_prof","public_masters_assoc","public_masters_assist","public_masters_all","other_4yr_all","2yr_all"
"26","Missouri","$117,130","$87,523","$78,058","$88,295","$81,884","$69,000","$60,984","$65,456","$58,965","$62,512"
"27","Montana","$100,550","$78,182","$67,989","$79,160","$82,112","$69,976","$58,990","$64,483","$56,407","$54,567"
"28","Nebraska","$130,090","$93,681","$91,193","$97,227","$84,703","$68,049","$59,372","$68,457","$110,923","$65,041"
"29","Nevada","$140,052","$102,392","$85,567","$99,287","n/a","n/a","n/a","n/a","$77,665","n/a"
"30","New Hampshire","$137,198","$107,995","$88,303","$100,829","$96,027","$79,651","$69,215","$79,560","$92,319","$68,879"
"31","New Jersey","$173,519","$117,986","$96,540","$123,151","$127,827","$102,409","$83,870","$102,296","n/a","$81,553"
"32","New Mexico","$114,452","$85,586","$77,375","$87,649","$84,016","$70,334","$60,540","$65,999","$56,046","$61,154"
"33","New York","$143,221","$104,943","$88,444","$109,632","$111,459","$88,796","$74,370","$88,138","$93,009","$83,736"
"34","North Carolina","$135,300","$93,539","$85,277","$97,900","$97,446","$78,301","$68,937","$75,585","$75,499","$56,024"
"35","North Dakota","$114,005","$86,636","$76,571","$84,838","$86,607","$71,102","$64,488","$64,025","$57,770","$61,065"
"36","Ohio","$128,828","$94,420","$83,301","$96,920","$90,541","$73,733","$62,521","$73,737","$73,298","$70,230"
"37","Oklahoma","$135,045","$93,644","$85,077","$93,629","$84,834","$69,727","$63,006","$65,920","$75,389","$55,797"
"38","Oregon","$134,387","$100,057","$88,628","$94,757","$88,209","$68,594","$57,396","$68,494","$111,953","$75,563"
"39","Pennsylvania","$154,621","$103,398","$84,480","$104,804","$113,493","$90,794","$73,098","$89,103","$82,233","$69,010"
"40","Rhode Island","$131,994","$98,948","$89,372","$100,873","$94,907","$80,712","$66,890","$81,556","n/a","$61,974"
"41","South Carolina","$140,984","$97,034","$91,116","$99,689","$92,142","$75,899","$65,093","$73,402","$71,922","$52,951"
"42","South Dakota","$109,155","$82,737","$76,005","$79,225","$90,755","$71,845","$61,419","$67,296","$79,273","$60,239"
"43","Tennessee","$118,164","$86,817","$76,491","$86,390","$86,986","$71,541","$62,499","$70,789","$133,878","$57,849"
"44","Texas","$141,769","$95,374","$84,712","$94,802","$101,714","$83,673","$71,030","$75,300","$87,063","$64,010"
"45","Utah","$147,758","$105,386","$89,507","$105,490","$95,008","$77,430","$70,366","$73,885","$65,586","$60,926"
"46","Vermont","$128,078","$98,226","$84,561","$96,501","$70,228","$61,551","$50,636","$61,931","$62,547","n/a"
"47","Virginia","$162,793","$108,500","$88,920","$111,773","$99,429","$80,250","$71,945","$80,424","$113,226","$68,195"
"48","Washington","$154,026","$111,650","$104,673","$115,434","$115,987","$95,381","$80,779","$86,727","$68,984","$68,874"
"49","West Virginia","$113,696","$87,837","$76,705","$93,324","$74,640","$65,814","$57,057","$61,890","$61,942","$57,323"
"50","Wisconsin","$136,866","$96,240","$89,098","$107,179","$78,652","$67,648","$68,216","$67,114","$78,905","$80,530"
"51","Wyoming","$119,824","$89,584","$83,689","$90,835","n/a","n/a","n/a","n/a","n/a","$62,052"
