"Table 326.10. Graduation rate from first institution attended for first-time, full-time bachelor's degree-seeking 
              students at 4-year postsecondary institutions, by race/ethnicity, time to completion, sex, control of 
  2013 entry cohort,56.4,60.3,33.8,51.1,67.4,68.2,42.4,38.0,53.1,59.9
  For-profit institutions,,,,,,,,,,
  1996 entry cohort,21.8,26.3,14.8,20.1,24.6,---,---,16.5,---,33.8
  2000 entry cohort,23.9,28.2,19.6,26.3,40.6,---,---,26.8,---,34.5
  2002 entry cohort,14.7,17.8,10.3,19.2,29.2,---,---,11.2,---,3.4
  2003 entry cohort,14.8,18.2,10.4,19.5,25.5,---,---,8.4,---,4.7
  2004 entry cohort,20.6,27.3,13.3,20.7,31.4,---,---,9.4,---,10.6
  2005 entry cohort,20.0,27.9,11.0,19.6,31.7,33.8,15.4,15.2,24.7,15.4
  2006 entry cohort,22.8,32.5,12.7,23.0,30.1,32.4,9.4,13.0,27.6,22.4
  2007 entry cohort,22.5,32.6,11.7,22.7,32.0,36.3,7.2,12.6,27.2,24.4
  2008 entry cohort,17.5,26.5,9.5,20.8,30.6,34.8,8.3,12.8,30.0,19.7
  2009 entry cohort,13.9,21.3,7.6,18.1,29.2,35.1,7.0,10.2,17.1,20.9
  2010 entry cohort,17.6,25.8,11.5,20.1,35.1,38.9,14.6,13.3,24.7,24.1
  2011 entry cohort,14.5,16.9,7.9,17.5,27.8,33.3,12.0,6.6,19.3,31.6
  2012 entry cohort,19.4,21.1,13.2,21.1,30.3,36.3,12.4,10.1,22.4,32.9
  2013 entry cohort,19.4,20.6,13.6,21.9,31.0,35.8,14.1,11.3,27.7,40.2
"  Graduating within 4 years after 
     entry, males",,,,,,,,,,
  All 4-year institutions,,,,,,,,,,
  1996 entry cohort,28.5,30.6,13.9,19.0,32.2,---,---,15.1,---,38.6
  2000 entry cohort,31.1,33.4,15.3,21.7,35.6,---,---,17.1,---,39.2
  2002 entry cohort,31.4,33.9,14.8,21.9,37.5,---,---,17.3,---,36.8
  2003 entry cohort,32.2,34.8,14.7,22.5,39.0,---,---,17.7,---,37.7
  2004 entry cohort,33.0,35.7,15.1,23.3,39.9,---,---,18.9,---,39.7
  2005 entry cohort,33.5,36.4,15.0,24.2,39.9,40.2,19.6,18.8,40.2,40.1
  2006 entry cohort,34.3,37.2,15.7,24.9,41.2,41.6,21.6,17.6,43.2,39.6
  2007 entry cohort,34.5,37.7,15.6,25.5,41.1,41.5,24.3,18.6,44.7,39.3
  2008 entry cohort,34.8,38.1,16.2,25.7,42.1,42.5,25.0,18.9,40.7,41.0
  2009 entry cohort,34.7,38.2,16.0,25.7,43.8,44.4,24.3,20.6,36.4,43.0
  2010 entry cohort,35.6,39.6,16.5,26.8,44.4,44.9,26.5,18.5,34.3,43.8
  2011 entry cohort,36.5,40.7,16.5,27.6,44.8,45.3,26.4,18.6,33.3,43.8
  2012 entry cohort,38.2,42.2,18.1,28.6,46.9,47.4,28.6,20.0,33.9,44.6
  2013 entry cohort,39.7,43.7,19.8,30.2,47.8,48.4,28.1,23.1,35.4,45.9
    Public institutions,,,,,,,,,,
    1996 entry cohort,20.8,22.6,9.9,12.5,23.4,---,---,10.9,---,28.6
    2000 entry cohort,23.6,25.5,11.7,14.5,27.8,---,---,11.9,---,30.3
    2002 entry cohort,24.6,26.6,11.0,15.8,30.4,---,---,12.8,---,30.4
    2003 entry cohort,25.7,27.9,10.9,16.4,32.5,---,---,14.1,---,30.8
    2004 entry cohort,26.2,28.5,11.2,16.9,32.9,---,---,14.5,---,30.1
    2005 entry cohort,27.1,29.6,11.7,18.3,33.5,33.8,14.1,15.0,26.4,29.8
    2006 entry cohort,27.9,30.4,12.1,18.8,34.9,35.2,15.4,13.8,29.2,29.7
    2007 entry cohort,28.3,31.1,12.1,19.5,34.8,35.0,19.2,14.7,34.0,29.4
    2008 entry cohort,29.3,32.1,13.3,20.0,36.1,36.5,18.7,15.4,30.7,33.1
    2009 entry cohort,29.5,32.4,13.2,20.3,37.9,38.4,21.0,16.0,27.6,35.2
    2010 entry cohort,30.5,33.7,13.4,21.4,38.7,39.1,23.6,13.8,27.2,37.0
    2011 entry cohort,31.6,35.2,13.7,22.1,39.3,39.6,25.7,15.1,28.1,38.1
    2012 entry cohort,33.2,36.9,14.9,23.1,41.3,41.7,27.7,16.4,28.7,39.6
    2013 entry cohort,35.0,38.7,16.8,25.1,42.8,43.2,25.3,19.7,30.1,40.8
    Nonprofit institutions,,,,,,,,,,
    1996 entry cohort,43.6,46.2,22.1,35.0,53.5,---,---,28.9,---,47.0
    2000 entry cohort,46.0,48.9,22.3,38.2,56.1,---,---,33.2,---,48.0
    2002 entry cohort,46.5,49.4,22.9,38.9,57.7,---,---,32.1,---,50.9
    2003 entry cohort,47.0,49.8,23.1,39.9,58.6,---,---,30.7,---,51.3
    2004 entry cohort,47.8,50.6,23.2,41.2,59.0,---,---,35.4,---,53.2
    2005 entry cohort,47.5,50.5,22.6,40.7,58.8,59.3,29.4,30.8,55.7,52.7
    2006 entry cohort,48.2,51.2,23.4,42.4,60.2,60.8,34.5,34.2,58.4,52.2
    2007 entry cohort,47.9,51.5,23.0,42.3,60.0,60.5,37.7,32.2,57.8,51.4
    2008 entry cohort,47.7,51.3,23.0,42.4,59.5,59.9,43.5,31.5,53.9,51.8
    2009 entry cohort,47.8,51.5,22.9,42.0,60.7,61.4,37.3,36.3,52.7,53.9
    2010 entry cohort,48.4,52.5,23.1,43.0,60.4,61.2,35.3,32.7,51.2,53.3
    2011 entry cohort,49.2,53.3,23.7,45.1,61.6,62.4,32.7,30.6,48.5,52.4
    2012 entry cohort,49.9,54.1,24.7,45.2,63.2,64.2,33.4,31.9,48.0,52.3
    2013 entry cohort,50.9,55.0,26.1,46.2,63.6,64.4,36.7,33.4,47.8,53.4
    For-profit institutions,,,,,,,,,,
    1996 entry cohort,22.3,25.5,16.1,23.0,27.7,---,---,25.6,---,33.1
    2000 entry cohort,28.2,32.1,20.9,30.2,42.6,---,---,27.7,---,35.1
    2002 entry cohort,17.8,21.3,12.2,20.2,33.2,---,---,17.6,---,4.0
    2003 entry cohort,17.4,20.9,11.8,20.8,28.1,---,---,11.1,---,6.4
    2004 entry cohort,23.5,30.5,15.0,21.6,36.6,---,---,12.1,---,10.7
    2005 entry cohort,23.6,31.4,12.0,22.2,32.2,33.2,24.0,20.8,25.2,16.7
    2006 entry cohort,27.8,37.2,16.6,26.0,33.7,35.2,17.2,14.7,30.1,23.7
    2007 entry cohort,28.4,39.3,15.3,25.7,35.8,38.3,14.1,19.0,25.8,26.9
    2008 entry cohort,20.7,30.5,11.1,21.9,34.0,35.8,16.4,12.4,27.8,14.9
    2009 entry cohort,17.0,25.4,10.4,19.2,32.1,36.2,7.1,12.2,23.8,15.1
    2010 entry cohort,21.8,32.4,13.6,22.3,38.4,41.1,18.5,16.3,30.0,17.9
    2011 entry cohort,17.1,21.8,9.5,19.2,28.6,32.3,14.5,7.5,22.9,28.5
    2012 entry cohort,21.2,24.1,14.0,22.8,32.3,36.7,16.1,11.7,24.7,26.2
    2013 entry cohort,22.1,24.9,15.2,22.9,30.1,33.2,14.7,16.4,33.9,37.9
"  Graduating within 4 years after 
     entry, females",,,,,,,,,,
  All 4-year institutions,,,,,,,,,,
  1996 entry cohort,38.0,41.1,23.2,25.8,42.2,---,---,21.7,---,45.8
  2000 entry cohort,40.1,43.4,25.1,28.9,45.6,---,---,24.0,---,45.3
  2002 entry cohort,40.8,44.2,24.4,30.1,47.8,---,---,23.1,---,41.4
  2003 entry cohort,41.0,44.8,23.9,29.8,48.1,---,---,22.8,---,41.1
  2004 entry cohort,42.2,45.9,24.2,31.4,49.4,---,---,24.0,---,48.1
  2005 entry cohort,42.2,46.4,23.7,31.3,49.6,50.1,24.2,24.1,47.3,48.4
  2006 entry cohort,43.1,47.4,23.9,32.5,50.2,50.8,26.2,25.2,49.1,49.3
  2007 entry cohort,43.5,48.1,24.3,33.1,50.7,51.3,27.1,26.3,52.2,50.8
  2008 entry cohort,44.0,48.6,24.9,33.9,51.6,52.4,27.8,26.0,50.6,52.5
  2009 entry cohort,44.2,49.4,23.9,34.4,53.3,54.1,28.7,26.7,44.5,56.0
  2010 entry cohort,45.1,50.5,24.8,35.5,54.3,54.9,34.7,25.9,43.7,57.5
  2011 entry cohort,45.9,51.3,25.2,36.1,54.9,55.5,34.8,24.0,42.1,59.4
  2012 entry cohort,48.4,53.5,28.0,38.3,56.8,57.5,34.2,27.9,43.5,61.0
  2013 entry cohort,49.9,55.0,30.0,39.8,58.4,59.0,38.5,28.6,45.1,61.2
    Public institutions,,,,,,,,,,
    1996 entry cohort,30.3,33.3,18.3,18.4,33.2,---,---,17.3,---,34.1
    2000 entry cohort,33.5,36.3,22.0,22.2,39.2,---,---,19.9,---,36.2
    2002 entry cohort,34.4,37.3,21.0,23.5,40.8,---,---,18.5,---,37.1
    2003 entry cohort,35.0,38.3,20.2,23.9,42.0,---,---,19.2,---,37.2
    2004 entry cohort,35.7,39.2,19.9,24.9,42.6,---,---,19.3,---,39.6
    2005 entry cohort,36.2,39.9,20.2,25.5,43.5,43.9,19.0,20.1,30.7,37.7
    2006 entry cohort,37.2,41.1,20.6,26.4,44.7,45.1,21.3,21.1,31.5,39.1
    2007 entry cohort,37.8,42.0,21.0,27.5,44.6,45.1,22.9,23.2,37.5,40.8
    2008 entry cohort,38.8,43.1,22.2,28.5,45.8,46.4,24.5,21.9,38.7,44.0
    2009 entry cohort,39.5,44.0,21.6,29.4,47.7,48.3,26.2,22.8,35.4,49.0
    2010 entry cohort,40.3,45.1,22.0,30.3,48.2,48.6,33.1,21.2,36.9,51.9
    2011 entry cohort,41.4,46.6,22.5,31.2,49.7,50.0,35.9,21.4,36.4,54.6
    2012 entry cohort,43.6,48.8,24.5,33.3,51.6,52.0,34.1,23.7,38.2,56.9
    2013 entry cohort,45.5,50.7,26.7,35.0,53.6,54.0,37.4,25.1,40.4,56.9
    Nonprofit institutions,,,,,,,,,,
    1996 entry cohort,52.6,55.5,34.2,43.5,61.6,---,---,37.5,---,54.4
    2000 entry cohort,53.6,57.2,32.2,46.2,60.9,---,---,38.1,---,53.2
    2002 entry cohort,55.3,58.5,33.9,48.1,65.0,---,---,40.4,---,60.2
    2003 entry cohort,55.3,58.6,34.4,46.7,63.7,---,---,37.0,---,59.7
    2004 entry cohort,56.4,59.4,35.9,49.6,65.6,---,---,41.5,---,61.9
    2005 entry cohort,55.9,59.2,34.1,48.1,64.9,65.5,38.6,38.5,63.1,62.7
    2006 entry cohort,56.7,60.1,34.4,50.8,64.9,65.7,39.2,40.9,64.4,61.8
    2007 entry cohort,56.8,60.6,34.6,49.8,66.4,67.2,42.0,40.7,65.6,62.9
    2008 entry cohort,56.8,60.5,34.8,50.5,66.5,67.1,45.6,41.0,62.5,63.0
    2009 entry cohort,57.3,61.5,33.9,51.0,67.3,67.9,45.1,42.3,59.4,65.2
    2010 entry cohort,57.8,62.4,34.1,51.7,68.3,69.1,43.6,41.2,59.0,64.9
    2011 entry cohort,58.6,62.6,35.9,53.3,68.1,68.8,44.0,36.7,57.8,66.1
    2012 entry cohort,59.7,63.7,38.0,53.6,69.4,70.3,40.8,42.3,57.2,66.7
    2013 entry cohort,60.8,64.6,40.1,54.6,70.1,70.9,46.6,41.5,56.9,67.0
    For-profit institutions,,,,,,,,,,
    1996 entry cohort,21.1,27.5,13.7,16.1,20.3,---,---,9.6,---,34.6
    2000 entry cohort,19.0,22.9,18.4,21.7,36.8,---,---,25.6,---,33.6
    2002 entry cohort,11.9,14.3,9.0,18.1,23.6,---,---,6.0,---,3.1
    2003 entry cohort,12.8,15.9,9.5,18.3,22.8,---,---,6.7,---,3.7
    2004 entry cohort,17.8,23.8,12.2,19.9,25.0,---,---,7.4,---,10.5
    2005 entry cohort,16.9,24.1,10.4,17.3,30.9,34.6,5.9,11.4,24.0,14.4
    2006 entry cohort,18.1,26.7,10.1,20.3,26.2,29.3,3.7,11.8,24.1,21.3
    2007 entry cohort,17.0,24.3,9.4,19.9,28.5,34.2,3.6,8.1,29.4,22.3
    2008 entry cohort,14.7,22.3,8.6,19.8,27.4,33.6,4.9,13.1,33.0,23.7
    2009 entry cohort,11.3,17.4,5.7,17.0,26.6,34.0,7.0,8.5,11.7,25.8
    2010 entry cohort,13.4,18.6,9.4,17.8,31.3,36.1,12.0,10.9,17.6,29.5
    2011 entry cohort,12.3,13.2,6.7,16.2,27.1,34.4,10.4,6.0,14.5,34.2
    2012 entry cohort,17.4,17.9,12.4,19.6,28.1,35.8,9.4,8.7,18.6,39.0
    2013 entry cohort,16.9,16.7,12.1,21.0,31.9,38.6,13.8,7.4,20.7,42.2
"Graduating within 5 years after 
   entry, males and females",,,,,,,,,,
All 4-year institutions,,,,,,,,,,
1996 entry cohort,50.2,53.3,33.3,38.9,56.4,---,---,33.3,---,54.3
2000 entry cohort,52.6,55.7,36.0,42.4,60.1,---,---,35.1,---,55.2
2002 entry cohort,52.6,56.0,34.4,42.7,61.3,---,---,34.0,---,51.0
2003 entry cohort,53.2,56.9,34.2,43.0,62.1,---,---,33.7,---,52.1
2004 entry cohort,54.1,57.7,34.5,44.0,62.9,---,---,34.7,---,57.2
2005 entry cohort,54.2,58.0,34.2,44.6,63.2,63.6,40.6,34.7,58.6,58.1
2006 entry cohort,54.9,58.7,34.9,45.8,64.4,64.9,41.7,35.6,61.8,59.0
2007 entry cohort,55.1,59.1,35.4,46.4,64.2,64.7,42.7,36.3,63.9,58.9
2008 entry cohort,55.4,59.5,35.7,47.1,65.1,65.7,43.7,36.3,60.6,60.9
2009 entry cohort,55.3,59.7,34.3,47.6,67.0,67.7,42.2,36.9,54.8,64.0
2010 entry cohort,55.8,60.4,34.7,48.8,67.4,68.1,46.5,34.6,55.2,65.4
2011 entry cohort,56.6,61.1,35.4,49.4,68.2,68.9,44.3,33.9,53.1,66.2
2012 entry cohort,58.7,62.8,37.9,51.4,69.8,70.5,45.6,36.2,53.9,67.2
2013 entry cohort,59.9,63.8,40.2,52.6,70.9,71.5,49.0,37.5,55.6,68.2
  Public institutions,,,,,,,,,,
  1996 entry cohort,45.9,49.0,30.5,34.1,51.3,---,---,30.0,---,46.5
  2000 entry cohort,49.1,51.9,34.6,38.0,56.8,---,---,31.9,---,49.8
  2002 entry cohort,49.4,52.3,33.1,38.9,57.8,---,---,30.9,---,50.6
  2003 entry cohort,50.3,53.6,32.4,39.5,59.0,---,---,31.6,---,51.4
  2004 entry cohort,50.7,54.1,32.2,40.2,59.3,---,---,31.6,---,51.9
  2005 entry cohort,51.1,54.7,32.6,41.4,59.9,60.2,39.1,32.5,47.6,51.3
  2006 entry cohort,51.9,55.5,33.5,42.2,61.6,62.0,41.3,32.9,50.1,51.9
  2007 entry cohort,52.3,56.0,34.1,43.3,61.0,61.4,41.4,34.5,55.0,51.9
  2008 entry cohort,53.1,56.7,35.1,44.4,62.1,62.6,41.8,34.1,52.1,55.1
  2009 entry cohort,53.4,57.2,34.2,45.4,64.3,64.9,42.7,34.1,48.8,59.0
  2010 entry cohort,54.0,57.8,34.5,46.6,64.6,65.1,47.4,31.4,51.0,61.5
  2011 entry cohort,55.0,59.0,35.5,47.3,65.6,66.1,47.5,32.9,50.4,63.1
  2012 entry cohort,56.7,60.6,37.2,49.1,67.3,67.8,47.8,34.2,51.4,64.7
  2013 entry cohort,58.1,61.8,39.8,50.4,68.7,69.1,49.3,35.7,53.1,65.7
  Nonprofit institutions,,,,,,,,,,
  1996 entry cohort,59.2,61.8,40.2,51.4,68.7,---,---,45.2,---,60.4
  2000 entry cohort,60.8,63.8,39.9,55.0,69.9,---,---,46.9,---,60.4
  2002 entry cohort,61.8,64.8,40.1,56.0,72.0,---,---,46.9,---,65.3
  2003 entry cohort,62.3,65.2,41.2,56.1,72.0,---,---,44.4,---,65.6
  2004 entry cohort,63.0,65.8,41.8,57.8,73.1,---,---,47.9,---,67.9
  2005 entry cohort,62.6,65.6,40.5,56.6,73.1,73.6,49.4,44.0,71.5,67.9
  2006 entry cohort,63.2,66.1,41.2,59.0,73.5,74.2,47.4,48.8,74.5,68.6
  2007 entry cohort,63.2,66.4,41.3,58.4,74.2,74.8,53.6,45.9,74.1,68.2
  2008 entry cohort,63.2,66.4,41.3,58.6,74.3,74.7,57.6,46.6,70.7,68.8
  2009 entry cohort,63.3,66.8,39.7,58.6,75.1,75.8,51.5,49.5,67.1,71.2
  2010 entry cohort,63.7,67.6,39.8,59.5,75.4,76.2,50.8,47.4,66.2,71.2
  2011 entry cohort,64.3,67.8,41.2,60.4,76.3,77.0,49.4,43.9,64.1,71.3
  2012 entry cohort,65.0,68.6,42.3,60.7,77.2,78.1,49.0,46.1,63.0,71.2
  2013 entry cohort,65.9,69.3,44.1,61.7,77.7,78.4,54.9,46.6,63.1,72.1
  For-profit institutions,,,,,,,,,,
  1996 entry cohort,25.4,30.1,17.8,23.1,27.3,---,---,19.8,---,51.6
  2000 entry cohort,28.5,33.2,25.8,30.5,43.4,---,---,28.3,---,42.6
  2002 entry cohort,18.0,21.3,13.2,22.7,32.2,---,---,12.7,---,6.0
  2003 entry cohort,20.2,23.6,15.6,24.4,30.4,---,---,11.4,---,10.0
  2004 entry cohort,25.9,32.9,19.1,25.8,36.5,---,---,15.5,---,17.7
  2005 entry cohort,25.5,33.3,15.8,26.0,38.2,40.2,23.1,18.9,27.3,24.1
  2006 entry cohort,28.0,37.2,17.8,29.8,38.0,40.2,18.7,16.8,30.5,30.3
  2007 entry cohort,27.8,37.5,16.7,29.1,39.0,43.2,14.4,16.2,31.0,34.6
  2008 entry cohort,23.0,31.8,14.8,27.7,37.4,40.9,18.8,16.9,34.6,33.3
  2009 entry cohort,19.5,26.5,12.3,24.9,36.9,43.1,14.1,14.7,20.9,35.4
  2010 entry cohort,22.2,30.4,14.8,26.3,41.9,45.9,20.2,16.7,27.7,38.4
  2011 entry cohort,19.0,21.8,11.4,23.6,34.4,40.7,16.1,9.5,21.5,44.8
  2012 entry cohort,23.8,25.7,16.6,25.9,37.0,44.6,14.3,13.1,24.7,47.2
  2013 entry cohort,23.9,25.1,17.3,26.7,39.3,44.7,20.2,13.4,31.8,53.4
"  Graduating within 5 years after 
     entry, males",,,,,,,,,,
  All 4-year institutions,,,,,,,,,,
  1996 entry cohort,46.2,49.2,27.0,34.4,51.8,---,---,31.2,---,51.5
  2000 entry cohort,49.0,52.0,29.8,37.8,56.5,---,---,31.6,---,53.0
  2002 entry cohort,49.0,52.4,28.3,37.7,57.5,---,---,31.0,---,49.6
  2003 entry cohort,49.9,53.5,28.5,38.6,58.6,---,---,31.1,---,50.9
  2004 entry cohort,50.6,54.2,28.8,39.3,59.3,---,---,31.9,---,53.5
  2005 entry cohort,50.9,54.7,28.8,40.7,59.4,59.7,39.0,33.1,55.6,54.2
  2006 entry cohort,51.6,55.2,29.8,41.4,61.1,61.5,39.7,31.8,59.3,54.5
  2007 entry cohort,51.6,55.5,29.8,42.2,60.4,60.7,42.3,32.6,60.5,53.9
  2008 entry cohort,51.6,55.6,30.1,42.3,61.4,61.8,42.8,32.9,56.1,55.5
  2009 entry cohort,51.5,55.8,29.1,42.8,63.3,63.9,41.7,33.5,50.8,58.0
  2010 entry cohort,52.1,56.7,29.3,44.0,63.5,64.1,43.8,30.5,51.4,59.3
  2011 entry cohort,52.9,57.5,29.8,44.7,64.1,64.8,39.8,31.7,48.9,60.0
  2012 entry cohort,54.7,59.0,31.6,46.0,66.1,66.7,43.7,32.1,49.8,61.1
  2013 entry cohort,55.9,60.0,33.7,47.6,66.9,67.5,44.6,34.6,51.5,62.4
    Public institutions,,,,,,,,,,
    1996 entry cohort,41.6,44.6,24.0,29.4,46.4,---,---,27.7,---,44.1
    2000 entry cohort,44.9,47.7,27.4,32.6,52.1,---,---,27.6,---,47.2
    2002 entry cohort,45.4,48.4,26.2,33.8,53.7,---,---,27.6,---,47.2
    2003 entry cohort,46.7,50.0,26.3,34.7,55.1,---,---,28.7,---,48.2
    2004 entry cohort,47.0,50.4,26.3,35.2,55.4,---,---,28.6,---,47.2
    2005 entry cohort,47.8,51.3,26.9,37.2,56.0,56.3,37.1,31.2,44.9,46.9
    2006 entry cohort,48.4,51.8,27.8,37.4,57.7,58.0,38.8,29.0,48.5,47.0
    2007 entry cohort,48.6,52.2,28.1,38.6,56.9,57.2,40.8,30.2,53.7,46.8
    2008 entry cohort,49.1,52.7,29.1,39.0,58.1,58.5,39.1,31.2,47.3,50.3
    2009 entry cohort,49.5,53.1,28.3,40.2,60.4,60.9,41.6,30.1,45.0,53.2
    2010 entry cohort,50.2,53.9,28.7,41.4,60.8,61.2,43.8,27.3,47.1,55.2
    2011 entry cohort,51.1,55.2,29.4,42.1,61.4,61.9,41.5,30.2,46.4,56.8
    2012 entry cohort,52.7,56.8,30.9,43.2,63.4,63.9,44.9,29.8,47.5,59.0
    2013 entry cohort,54.1,57.9,33.1,44.9,64.5,65.0,44.5,33.2,48.9,60.1
    Nonprofit institutions,,,,,,,,,,
    1996 entry cohort,55.8,58.5,34.0,47.4,65.9,---,---,42.9,---,57.7
    2000 entry cohort,58.5,61.3,35.1,51.7,69.9,---,---,45.9,---,58.9
    2002 entry cohort,58.8,61.8,34.7,51.6,70.1,---,---,44.0,---,62.2
    2003 entry cohort,59.3,62.3,35.0,53.2,70.7,---,---,41.5,---,62.2
    2004 entry cohort,60.1,62.9,35.6,54.0,71.2,---,---,46.0,---,64.4
    2005 entry cohort,59.5,62.5,34.7,53.3,70.6,71.0,45.2,40.4,69.3,63.9
    2006 entry cohort,60.2,63.2,35.6,55.4,72.1,72.9,44.6,45.7,72.8,64.4
    2007 entry cohort,59.7,63.2,34.9,55.1,71.5,72.0,51.2,42.5,70.9,63.1
    2008 entry cohort,59.6,63.2,35.0,54.8,72.1,72.5,56.9,41.7,68.6,63.1
    2009 entry cohort,59.6,63.3,34.2,54.6,72.4,73.1,49.4,47.5,63.5,65.4
    2010 entry cohort,60.0,64.1,33.9,55.7,72.3,73.1,48.7,42.8,63.3,65.7
    2011 entry cohort,60.5,64.5,34.7,56.6,73.6,74.5,44.8,41.7,59.9,65.5
    2012 entry cohort,61.1,65.2,35.5,56.7,74.9,75.7,47.4,42.4,59.4,65.0
    2013 entry cohort,61.8,65.8,37.1,57.7,75.1,75.9,49.6,41.1,59.1,66.2
    For-profit institutions,,,,,,,,,,
    1996 entry cohort,25.6,29.2,18.1,25.4,29.9,---,---,30.8,---,51.0
    2000 entry cohort,32.1,36.5,25.3,33.9,45.0,---,---,27.7,---,42.1
    2002 entry cohort,21.0,24.7,14.9,23.7,35.5,---,---,18.5,---,6.2
    2003 entry cohort,22.6,26.3,16.0,24.9,32.0,---,---,16.0,---,10.2
    2004 entry cohort,27.8,35.1,19.1,25.9,41.6,---,---,15.0,---,16.8
    2005 entry cohort,28.7,36.4,16.4,27.4,38.1,38.7,33.3,23.8,28.5,24.9
    2006 entry cohort,32.5,41.5,20.9,32.0,40.8,42.1,25.9,18.2,34.0,32.4
    2007 entry cohort,32.7,43.3,19.5,30.7,41.8,44.2,21.1,23.1,27.7,34.8
    2008 entry cohort,25.1,34.9,14.7,27.4,40.6,42.2,25.4,14.7,31.1,26.7
